"Round","Date","Gender","District","Ward","Age","Ethnicity","Ethnicity_Other","Occupation","Occupation_Other","Do_you_have_any_health_problem","A0JS","A1JS","B0JS","C0JS","C1JS","D0JS","E0JS","Month"
1,"2015-07-19","Male","Bhaktapur",4,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Very little","News about government decision","Not at all","Mostly yes",7
1,"2015-07-19","Female","Bhaktapur",4,"25 to 39","Brahmin",NA,"Other","housewife","No difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Very little","Very little",7
1,"2015-07-19","Female","Bhaktapur",4,"40 to 54","Brahmin",NA,"Other","housewife","No difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Not at all","Don't know",7
1,"2015-07-18","Male","Bhaktapur",4,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-18","Female","Bhaktapur",2,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","How to get shelter materials","Not at all","Not at all",7
1,"2015-07-15","Female","Bhaktapur",2,"40 to 54","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"Yes, some difficulty.","Mostly yes",NA,"Mostly yes","Don't know",NA,"Mostly yes","Don't know",7
1,"2015-07-15","Male","Bhaktapur",2,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Not at all","How to get shelter materials","Don't know","Don't know",7
1,"2015-07-18","Female","Bhaktapur",2,"25 to 39","Newar",NA,"Other","homemaker","No difficulty.","Not at all","Short term shelter / tent shelter","Very little","Not at all","News about government decision","Don't know","Not at all",7
1,"2015-07-19","Male","Bhaktapur",9,"25 to 39","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Not at all","Housing inspections","Not at all","Not at all","How to get healthcare psychological support","Not at all","Not at all",7
1,"2015-07-15","Male","Bhaktapur",1,"55+","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-20","Female","Bhaktapur",9,"25 to 39","Newar",NA,"Other","homemaker","No difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","How to get shelter materials","Not at all","Not at all",7
1,"2015-07-20","Male","Bhaktapur",9,"40 to 54","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"Yes, some difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-15","Male","Bhaktapur",1,"25 to 39","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Don't know",NA,"Don't know","Don't know",NA,"Completely yes","Don't know",7
1,"2015-07-20","Male","Bhaktapur",9,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Very little","News about government decision","Not at all","Not at all",7
1,"2015-07-19","Male","Bhaktapur",1,"40 to 54","Brahmin",NA,"NGO Worker / Business",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-19","Male","Bhaktapur",1,"40 to 54","Brahmin",NA,"NGO Worker / Business",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-15","Female","Bhaktapur",1,"Don't know","Newar",NA,"Other","Housewife","No difficulty.","Don't know",NA,"Don't know","Not at all","News about government decision","Very little","Very little",7
1,"2015-07-17","Male","Bhaktapur",1,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Housing inspections","Don't know","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-17","Male","Bhaktapur",7,"40 to 54","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-16","Male","Bhaktapur",7,"25 to 39","Chhetri",NA,"NGO Worker / Business",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-15","Male","Bhaktapur",4,"55+","Newar",NA,"Other","driver","No difficulty.","Mostly yes",NA,"Not at all","Not at all","News about government decision","Not at all","Mostly yes",7
1,"2015-07-19","Female","Bhaktapur",5,"40 to 54","Brahmin",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Very little","Long term shelter / housing","Very little","Very little","News about government decision","Don't know","Very little",7
1,"2015-07-17","Female","Bhaktapur",7,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Mostly yes",NA,"Very little","Mostly yes",NA,"Don't know","Very little",7
1,"2015-07-15","Female","Bhaktapur",5,"40 to 54","Newar",NA,"Other","housewife","No difficulty.","Very little","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-17","Male","Bhaktapur",1,"25 to 39","Chhetri",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-19","Male","Bhaktapur",5,"25 to 39","Brahmin",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Short term shelter / tent shelter","Very little","Very little","News about government decision","Not at all","Very little",7
1,"2015-07-15","Male","Bhaktapur",4,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Not at all","Don't know",7
1,"2015-07-18","Male","Bhaktapur",1,"40 to 54","Newar",NA,"NGO Worker / Business",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-20","Male","Bhaktapur",5,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Don't know",NA,"Very little","Mostly yes",NA,"Don't know","Very little",7
1,"2015-07-17","Female","Bhaktapur",1,"55+","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-17","Male","Bhaktapur",2,"25 to 39","Chhetri",NA,"Farmer / Laborer",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Very little","Mostly yes",7
1,"2015-07-18","Male","Bhaktapur",5,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Long term shelter / housing","Neutral","Very little","News about government decision","Don't know","Very little",7
1,"2015-07-15","Male","Bhaktapur",5,"40 to 54","Newar",NA,"Other","business","No difficulty.","Not at all","Livelihoods","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-16","Male","Bhaktapur",5,"25 to 39","Chhetri",NA,"Skilled Worker (i.e. Carpenter)",NA,"Yes, some difficulty.","Very little","Short term shelter / tent shelter","Not at all","Mostly yes",NA,"Very little","Neutral",7
1,"2015-07-15","Male","Bhaktapur",4,"55+","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Completely yes","Very little","News about government decision","Completely yes","Completely yes",7
1,"2015-07-18","Male","Bhaktapur",2,"40 to 54","Brahmin",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Short term shelter / tent shelter","Neutral","Mostly yes",NA,"Don't know","Very little",7
1,"2015-07-17","Male","Bhaktapur",7,"55+","Chhetri",NA,"Other","kehi gardaina","No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-17","Female","Bhaktapur",7,"40 to 54","Brahmin",NA,"NGO Worker / Business",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-15","Female","Bhaktapur",4,"25 to 39","Newar",NA,"Other","housewife","Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Don't know","Not at all",7
1,"2015-07-17","Male","Bhaktapur",2,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Short term shelter / tent shelter","Very little","Mostly yes",NA,"Very little","Very little",7
1,"2015-07-18","Female","Bhaktapur",2,"40 to 54","Newar",NA,"NGO Worker / Business",NA,"Yes, some difficulty.","Mostly yes",NA,"Very little","Mostly yes",NA,"Don't know","Very little",7
1,"2015-07-17","Female","Bhaktapur",1,"25 to 39","Brahmin",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Clean water","Mostly yes","Very little","How to get shelter materials","Don't know","Completely yes",7
1,"2015-07-19","Female","Bhaktapur",2,"25 to 39","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Very little","Financial support","Not at all","Mostly yes",NA,"Don't know","Very little",7
1,"2015-07-18","Female","Bhaktapur",1,"25 to 39","Brahmin",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Very little","Short term shelter / tent shelter","Very little","Not at all","News about government decision","Very little","Mostly yes",7
1,"2015-07-16","Male","Bhaktapur",4,"40 to 54","Brahmin",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Mostly yes",NA,"Very little","Very little","News about government decision","Don't know","Mostly yes",7
1,"2015-07-21","Female","Bhaktapur",1,"40 to 54","Brahmin",NA,"Other","Housewife","Yes, some difficulty.","Very little","Short term shelter / tent shelter","Very little","Not at all","News about government decision","Very little","Mostly yes",7
1,"2015-07-21","Male","Bhaktapur",1,"40 to 54","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Very little","Long term shelter / housing","Mostly yes","Neutral","How to get shelter materials","Don't know","Completely yes",7
1,"2015-07-21","Male","Bhaktapur",5,"25 to 39","Chhetri",NA,"Farmer / Laborer",NA,"No difficulty.","Very little","Long term shelter / housing","Mostly yes","Neutral","News about government decision","Don't know","Mostly yes",7
1,"2015-07-21","Male","Bhaktapur",5,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Neutral","Short term shelter / tent shelter","Mostly yes","Mostly yes",NA,"Don't know","Very little",7
1,"2015-07-21","Female","Bhaktapur",7,"55+","Brahmin",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Refused","refused",7
1,"2015-07-21","Male","Bhaktapur",5,"25 to 39","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Very little","Short term shelter / tent shelter","Not at all","Mostly yes",NA,"Don't know","Mostly yes",7
1,"2015-07-21","Female","Bhaktapur",5,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Mostly yes",NA,"Neutral","Very little","News about government decision","Don't know","Mostly yes",7
1,"2015-07-21","Female","Bhaktapur",7,"40 to 54","Brahmin",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-21","Male","Bhaktapur",7,"40 to 54","Chhetri",NA,"NGO Worker / Business",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Completely yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-21","Male","Bhaktapur",7,"40 to 54","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"Yes, some difficulty.","Mostly yes",NA,"Mostly yes","Completely yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-21","Male","Bhaktapur",7,"25 to 39","Chhetri",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-21","Female","Bhaktapur",2,"55+","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"Yes, some difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Don't know","Mostly yes",7
1,"2015-07-21","Female","Bhaktapur",7,"55+","Brahmin",NA,"Farmer / Laborer",NA,"Yes, a lot of difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Refused","refused",7
1,"2015-07-21","Male","Bhaktapur",2,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"No difficulty.","Completely yes",NA,"Completely yes","Completely yes",NA,"Very little","Mostly yes",7
1,"2015-07-21","Male","Bhaktapur",4,"40 to 54","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"Yes, some difficulty.","Mostly yes",NA,"Completely yes","Mostly yes",NA,"Don't know","Mostly yes",7
1,"2015-07-21","Female","Bhaktapur",0,"40 to 54","Chhetri",NA,"NGO Worker / Business",NA,"Yes, some difficulty.","Very little","Financial support","Mostly yes","Mostly yes",NA,"Don't know","Mostly yes",7
1,"2015-07-21","Male","Bhaktapur",2,"55+","Newar",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Completely yes",NA,"Completely yes","Mostly yes",NA,"Neutral","Mostly yes",7
1,"2015-07-23","Female","Bhaktapur",4,"40 to 54","Brahmin",NA,"Other","House Wife","No difficulty.","Not at all","Long term shelter / housing","Very little","Very little","News about government decision","Mostly yes","Neutral",7
1,"2015-07-23","Male","Bhaktapur",4,"25 to 39","Newar",NA,"NGO Worker / Business",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-23","Male","Bhaktapur",4,"25 to 39","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Not at all","Not at all",7
1,"2015-07-23","Female","Bhaktapur",4,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Mostly yes",NA,"Very little","Mostly yes",7
1,"2015-07-23","Male","Bhaktapur",4,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Not at all","Very little","News about government decision","Very little","Mostly yes",7
1,"2015-07-23","Female","Bhaktapur",4,"40 to 54","Chhetri",NA,"Other","House Wife","No difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Neutral","Very little",7
1,"2015-07-23","Female","Bhaktapur",8,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Mostly yes",NA,"Very little","Mostly yes",7
1,"2015-07-23","Female","Bhaktapur",8,"40 to 54","Newar",NA,"Other","House Wife","No difficulty.","Not at all","Long term shelter / housing","Not at all","Not at all","News about government decision","Neutral","Very little",7
1,"2015-07-23","Female","Bhaktapur",8,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Not at all","Very little","News about government decision","Neutral","Not at all",7
1,"2015-07-23","Male","Bhaktapur",8,"40 to 54","Newar",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Not at all","News about government decision","Mostly yes","Mostly yes",7
1,"2015-07-23","Male","Bhaktapur",8,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"No difficulty.","Neutral","Short term shelter / tent shelter","Neutral","Very little","News about government decision","Neutral","Neutral",7
1,"2015-07-23","Male","Bhaktapur",8,"40 to 54","Newar",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Completely yes","Mostly yes",7
1,"2015-07-23","Male","Bhaktapur",3,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Very little","Short term shelter / tent shelter","Neutral","Mostly yes",NA,"Neutral","Very little",7
1,"2015-07-23","Male","Bhaktapur",3,"40 to 54","Chhetri",NA,"NGO Worker / Business",NA,"Yes, some difficulty.","Neutral","Long term shelter / housing","Neutral","Mostly yes",NA,"Neutral","Neutral",7
1,"2015-07-23","Male","Bhaktapur",3,"25 to 39","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Neutral","Short term shelter / tent shelter","Neutral","Neutral","How to replace personal documentation","Neutral","Mostly yes",7
1,"2015-07-23","Male","Bhaktapur",3,"40 to 54","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"Yes, some difficulty.","Neutral","Long term shelter / housing","Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-23","Male","Bhaktapur",8,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Neutral","Short term shelter / tent shelter","Neutral","Mostly yes",NA,"Neutral","Mostly yes",7
1,"2015-07-23","Female","Bhaktapur",3,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Very little","Long term shelter / housing","Neutral","Mostly yes",NA,"Don't know","Don't know",7
1,"2015-07-23","Male","Bhaktapur",3,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Neutral","Long term shelter / housing","Mostly yes","Mostly yes",NA,"Neutral","Mostly yes",7
1,"2015-07-23","Female","Bhaktapur",9,"25 to 39","Newar",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Neutral","Short term shelter / tent shelter","Very little","Mostly yes",NA,"Very little","Neutral",7
1,"2015-07-23","Female","Bhaktapur",9,"25 to 39","Newar",NA,"Government Services (i.e. Teacher)",NA,"Yes, some difficulty.","Mostly yes",NA,"Mostly yes","Completely yes",NA,"Mostly yes","Neutral",7
1,"2015-07-23","Male","Bhaktapur",9,"40 to 54","Newar",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Neutral","Short term shelter / tent shelter","Neutral","Mostly yes",NA,"Neutral","Neutral",7
1,"2015-07-23","Male","Bhaktapur",9,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Neutral","Short term shelter / tent shelter","Neutral","Mostly yes",NA,"Neutral","Mostly yes",7
1,"2015-07-23","Female","Bhaktapur",9,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Neutral","Long term shelter / housing","Neutral","Mostly yes",NA,"Neutral","Neutral",7
1,"2015-07-23","Male","Bhaktapur",9,"15 to 24","Newar",NA,"Other","Student","No difficulty.","Neutral","Long term shelter / housing","Neutral","Mostly yes",NA,"Mostly yes","Neutral",7
1,"2015-07-12","Female","Dhading",6,"25 to 39","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Refused","Don't know",NA,"Don't know","Don't know",7
1,"2015-07-16","Male","Dhading",6,"15 to 24","Chhetri",NA,"Farmer / Laborer",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Not at all",7
1,"2015-07-14","Male","Dhading",6,"55+","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Not at all","Long term shelter / housing","Very little","Completely yes",NA,"Completely yes","Completely yes",7
1,"2015-07-15","Male","Dhading",6,"40 to 54","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Refused",NA,"Don't know","Not at all","News about government decision","Don't know","Don't know",7
1,"2015-07-15","Female","Dhading",6,"Refused","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Refused",NA,"Don't know","Don't know",NA,"Not at all","Not at all",7
1,"2015-07-15","Female","Dhading",6,"25 to 39","Tamang",NA,"Farmer / Laborer",NA,"No difficulty.","Completely yes",NA,"Mostly yes","Completely yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-15","Male","Dhading",1,"25 to 39","Brahmin",NA,"Farmer / Laborer",NA,"No difficulty.","Completely yes",NA,"Completely yes","Completely yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-15","Female","Dhading",1,"55+","Chhetri",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-15","Male","Dhading",1,"25 to 39","Dalit",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Mostly yes","Mostly yes",NA,"Very little","Mostly yes",7
1,"2015-07-15","Male","Dhading",1,"55+","Dalit",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Short term shelter / tent shelter","Not at all","Not at all","News about government decision","Not at all","Very little",7
1,"2015-07-15","Female","Dhading",1,"40 to 54","Dalit",NA,"Farmer / Laborer",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Completely yes",7
1,"2015-07-15","Female","Dhading",3,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Mostly yes","Mostly yes",NA,"Not at all","Not at all",7
1,"2015-07-14","Male","Dhading",3,"40 to 54","Muslim",NA,"NGO Worker / Business",NA,"Yes, some difficulty.","Don't know",NA,"Don't know","Refused",NA,"Don't know","Don't know",7
1,"2015-07-14","Female","Dhading",2,"55+","Tamang",NA,"Farmer / Laborer",NA,"Yes, some difficulty.","Don't know",NA,"Don't know","Refused",NA,"Don't know","Don't know",7
1,"2015-07-14","Male","Dhading",3,"40 to 54","Chhetri",NA,"Farmer / Laborer",NA,"No difficulty.","Not at all","Long term shelter / housing","Mostly yes","Mostly yes",NA,"Don't know","Completely yes",7
1,"2015-07-14","Male","Dhading",3,"25 to 39","Chhetri",NA,"Farmer / Laborer",NA,"No difficulty.","Completely yes",NA,"Mostly yes","Completely yes",NA,"Mostly yes","Completely yes",7
1,"2015-07-16","Male","Dhading",9,"40 to 54","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Completely yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-16","Male","Dhading",9,"25 to 39","Janajati",NA,"Farmer / Laborer",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Completely yes","Mostly yes",7
1,"2015-07-16","Male","Dhading",9,"40 to 54","Brahmin",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Neutral","Education","Mostly yes","Mostly yes",NA,"Completely yes","Mostly yes",7
1,"2015-07-16","Female","Dhading",9,"25 to 39","Dalit",NA,"Farmer / Laborer",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Neutral","News about government decision","Mostly yes","Mostly yes",7
1,"2015-07-16","Male","Dhading",9,"40 to 54","Brahmin",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Completely yes",NA,"Mostly yes","Mostly yes",NA,"Mostly yes","Completely yes",7
1,"2015-07-13","Male","Dhading",1,"25 to 39","Newar",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Completely yes",NA,"Mostly yes","Completely yes",NA,"Completely yes","Completely yes",7
1,"2015-07-13","Male","Dhading",1,"25 to 39","Gurung",NA,"Farmer / Laborer",NA,"No difficulty.","Neutral","Education","Mostly yes","Completely yes",NA,"Mostly yes","Completely yes",7
1,"2015-07-13","Female","Dhading",1,"40 to 54","Newar",NA,"Government Services (i.e. Teacher)",NA,"No difficulty.","Completely yes",NA,"Completely yes","Mostly yes",NA,"Mostly yes","Completely yes",7
1,"2015-07-13","Male","Dhading",0,"25 to 39","Other","not mentioned","NGO Worker / Business",NA,"No difficulty.","Mostly yes",NA,"Completely yes","Mostly yes",NA,"Completely yes","Mostly yes",7
1,"2015-07-13","Male","Dhading",1,"25 to 39","Dalit",NA,"Farmer / Laborer",NA,"No difficulty.","Mostly yes",NA,"Neutral","Mostly yes",NA,"Mostly yes","Mostly yes",7
1,"2015-07-14","Male","Dhading",6,"40 to 54","Janajati",NA,"Skilled Worker (i.e. Carpenter)",NA,"No difficulty.","Mostly yes",NA,"Completely yes","Neutral","News about government decision","Completely yes","Mostly yes",7
1,"2015-07-14","Male","Dhading",6,"40 to 54","Dalit",NA,"Farmer / Laborer",NA,"No difficulty.","Mostly yes",NA,"Mostly yes","Mostly yes",NA,"Completely yes","Mostly yes",7
1,"2015-07-13","Male","Dhading",5,"40 to 54","Gurung",NA,"NGO Worker / Business",NA,"No difficulty.","Neutral","Long term shelter / housing","Mostly yes","Mostly yes",NA,"Mostly yes","Mostly yes",7
