District,VDC_Municipality,Ward,Age,Gender,Ethnicity,Ethnicity_Other,Occupation,Occupation_Other,Do_you_have_any_health_problem,A0JS,A1JS,A2JS,A3JS,B0JS,B1NOV,B2NOV,C0JS,C1JS,C2JS,D0JS,D1NOV,D2NOV,E0JS,E1JS,E2JS,F0NOV,F1NOV,G0NOV,H0NOV,H1NOV
Bhaktapur,changurayan,7,55+,female,Newar,,farmer_laborer,,yes__some_diff,1_not_at_all,short_term_shelter_(tent/shelterbox),long_term_shelter__housing,financial_support,1_not_at_all,can't_get_to_distribution_sites,relief_distributed_based_on_first_come_first_served,1_not_at_all,how_to_register_for_access_support,how_to_get_shelter_materials,1_not_at_all,ngo_plans_unclear,relief_distributed_based_on_first_come_first_served,2_not_very_much,joint_families,only_if_damage_is_severe,2_not_very_much,house_shelter_will_not_protect_against_cold,don_t_know,5_not_at_all,
Bhaktapur,changurayan,12,25-39,female,Chhetri,,ngo_worker_bus,,yes__some_diff,3_neutral,long_term_shelter_(housing),education,toilets_sanitation,4_somewhat_yes,,,2_not_very_much,how_to_register_for_access_support,how_to_get_shelter_materials,2_not_very_much,relief_distributed_based_on_political_parties,relief_distributed_based_on_first_come_first_served,2_not_very_much,first_come_first_served,based_political_parties,5_completely_yes,,5_completely_yes,5_not_at_all,
Bhaktapur,lingeshwor,12,25-39,female,Chhetri,,farmer_laborer,,no_difficulty,4_somewhat_yes,,,,2_not_very_much,relifef_distributed_based_on_first_come_first_served,relief_distributed_based_on_distance_from_road,5_completely_yes,,,4_somewhat_yes,,,2_not_very_much,first_come_first_served,based_on_distance_from_main_road,4_somewhat_yes,,4_somewhat_yes,5_not_at_all,
Bhaktapur,lingeshwor,2,25-39,female,Chhetri,,farmer_laborer,,no_difficulty,1_not_at_all,long_term_shelter_(housing),financial_support,clean_water,4_somewhat_yes,,,5_completely_yes,,,don_t_know,,,4_somewhat_yes,,,4_somewhat_yes,,4_somewhat_yes,5_not_at_all,
Bhaktapur,lingeshwor,9,40-54,female,Chhetri,,farmer_laborer,,no_difficulty,2_not_very_much,long_term_shelter_(housing),financial_support,livelihoods,3_neutral,relifef_distributed_based_on_distance_from_road,relief_distributed_based_on_first_come_first_served,4_somewhat_yes,,,4_somewhat_yes,,,2_not_very_much,first_come_first_served,based_on_distance_from_main_road,2_not_very_much,house_shelter_will_not_protect_against_cold,1_not_at_all,5_not_at_all,
Bhaktapur,lingeshwor,9,25-39,female,Chhetri,,farmer_laborer,,no_difficulty,5_completely_yes,,,,5_completely_yes,,,4_somewhat_yes,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,5_completely_yes,5_not_at_all,
Bhaktapur,lingeshwor,9,25-39,female,Chhetri,,farmer_laborer,,no_difficulty,4_somewhat_yes,,,,5_completely_yes,,,4_somewhat_yes,,,4_somewhat_yes,,,5_completely_yes,,,5_completely_yes,,4_somewhat_yes,5_not_at_all,
Bhaktapur,Suryabinayak,7,15-24,female,Newar,,other,student,no_difficulty,3_neutral,healthcare,toilets_sanitation,education,2_not_very_much,relifef_distributed_based_on_political_parties,relief_distributed_based_on_first_come_first_served,2_not_very_much,how_to_replace_personal_documentation,how_to_get_shelter_materials,4_somewhat_yes,,,2_not_very_much,first_come_first_served,based_political_parties,4_somewhat_yes,,don_t_know,4_somewhat_yes,strangers
Bhaktapur,Suryabinayak,7,40-54,female,Chhetri,,skilled_worker,,yes__some_diff,2_not_very_much,short_term_shelter_(tent/shelterbox),long_term_shelter__housing,healthcare,2_not_very_much,relifef_distributed_based_on_political_parties,relief_distributed_based_on_first_come_first_served,2_not_very_much,how_to_get_shelter_materials,how_to_register_for_access_support,4_somewhat_yes,,,2_not_very_much,first_come_first_served,based_political_parties,4_somewhat_yes,,3_neutral,4_somewhat_yes,strangers
Bhaktapur,Suryabinayak,7,40-54,female,Chhetri,,skilled_worker,,no_difficulty,2_not_very_much,long_term_shelter_(housing),healthcare,financial_support,2_not_very_much,relifef_distributed_based_on_political_parties,relief_distributed_based_on_first_come_first_served,2_not_very_much,how_to_get_shelter_materials,how_to_register_for_access_support,2_not_very_much,relief_distributed_based_on_political_parties,relief_distributed_based_on_first_come_first_served,3_neutral,first_come_first_served,based_political_parties,4_somewhat_yes,,don_t_know,4_somewhat_yes,strangers
Bhaktapur,bhaktapur_np,7,55+,female,Newar,,farmer_laborer,,no_difficulty,2_not_very_much,short_term_shelter_(tent/shelterbox),psychosocial_counseling,housing_inspections,4_somewhat_yes,,,2_not_very_much,how_to_get_healthcare_psychosocial_support,how_to_register_for_access_support,2_not_very_much,do_not_trust_NGOs,ngo_plans_unclear,4_somewhat_yes,,,2_not_very_much,not_enough_fuel,1_not_at_all,5_not_at_all,
Bhaktapur,bhaktapur_np,7,25-39,female,Brahmin,,farmer_laborer,,no_difficulty,1_not_at_all,long_term_shelter_(housing),livelihoods,financial_support,2_not_very_much,relife_distributed_based_on_caste,reconstruction_process_taking_too_long,2_not_very_much,how_to_register_for_access_support,news_about_government_decision,2_not_very_much,relief_distributed_based_on_political_parties,ngo_plans_unclear,5_completely_yes,,,4_somewhat_yes,,2_not_very_much,4_not_very_much,
Bhaktapur,bhaktapur_np,1,15-24,female,Newar,,ngo_worker_bus,,no_difficulty,4_somewhat_yes,,,,2_not_very_much,can't_get_to_distribution_sites,government_plans_unclear,4_somewhat_yes,,,don_t_know,,,5_completely_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,don_t_know,5_not_at_all,
Bhaktapur,bhaktapur_np,1,40-54,female,Newar,,other,housewife,no_difficulty,2_not_very_much,livelihoods,financial_support,healthcare,4_somewhat_yes,,,2_not_very_much,how_to_get_healthcare_psychosocial_support,how_to_replace_personal_documentation,4_somewhat_yes,,,3_neutral,based_on_distance_from_main_road,only_if_damage_is_severe,5_completely_yes,,2_not_very_much,4_not_very_much,
Bhaktapur,bhaktapur_np,3,25-39,female,Newar,,skilled_worker,,no_difficulty,2_not_very_much,short_term_shelter_(tent/shelterbox),livelihoods,financial_support,4_somewhat_yes,,,4_somewhat_yes,,,4_somewhat_yes,,,2_not_very_much,based_on_distance_from_main_road,only_if_damage_is_severe,4_somewhat_yes,,4_somewhat_yes,don_t_know,
Bhaktapur,bhaktapur_np,3,55+,female,Tamang,,farmer_laborer,,yes__some_diff,2_not_very_much,short_term_shelter_(tent/shelterbox),seeds_and_fertilizers,livelihoods,2_not_very_much,was_promised_relief_but_never_received,reconstruction_process_taking_too_long,don_t_know,,,4_somewhat_yes,,,3_neutral,based_on_distance_from_main_road,only_if_damage_is_severe,2_not_very_much,not_enough_blankets,2_not_very_much,4_not_very_much,
Bhaktapur,bhaktapur_np,3,40-54,female,Chhetri,,government_ser,,no_difficulty,2_not_very_much,short_term_shelter_(tent/shelterbox),financial_support,long_term_shelter__housing,2_not_very_much,donêt_know_where_distribution_sites_are,relief_distributed_based_on_severe_damage,5_completely_yes,,,4_somewhat_yes,,,4_somewhat_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,2_not_very_much,don_t_know,
Bhaktapur,madhyapur_np,7,55+,female,Newar,,farmer_laborer,,yes_a_lot_of,1_not_at_all,long_term_shelter_(housing),short_term_shelter__tent_shelterbox,financial_support,1_not_at_all,relifef_distributed_based_on_political_parties,Do_not_trust_government,4_somewhat_yes,,,don_t_know,,,5_completely_yes,,,1_not_at_all,house_shelter_will_not_protect_against_cold,don_t_know,5_not_at_all,
Bhaktapur,madhyapur_np,7,40-54,female,Gurung,,farmer_laborer,,yes__some_diff,2_not_very_much,long_term_shelter_(housing),housing_inspections,financial_support,2_not_very_much,relief_distributed_based_on_caste,relief_distributed_based_on_first_come_first_served,2_not_very_much,how_to_register_for_access_support,how_to_get_shelter_materials,2_not_very_much,was_promised_relief_but_never_received,ngo_plans_unclear,5_completely_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,don_t_know,5_not_at_all,
Bhaktapur,bhaktapur_np,8,25-39,female,Newar,,farmer_laborer,,no_difficulty,4_somewhat_yes,,,,3_neutral,was_promised_relief_but_never_received,government_plans_unclear,2_not_very_much,how_to_replace_personal_documentation,news_about_government_decision,2_not_very_much,relief_distributed_based_on_first_come_first_served,renters_excluded_from_distribution,2_not_very_much,because_people_rent_instead_of_own,only_if_damage_is_severe,2_not_very_much,not_enough_blankets,3_neutral,4_somewhat_yes,strangers
Bhaktapur,bhaktapur_np,8,55+,female,Sherpa,,farmer_laborer,,no_difficulty,1_not_at_all,short_term_shelter_(tent/shelterbox),long_term_shelter__housing,livelihoods,1_not_at_all,do_not_trust_government,reconstruction_process_taking_too_long,4_somewhat_yes,,,3_neutral,was_promised_relief_but_never_received,ngo_do_not_know_what_they_are_doing,2_not_very_much,based_on_political_parties,based_on_distance_from_main_road,2_not_very_much,house_shelter_will_not_protect_against_cold,4_somewhat_yes,5_not_at_all,
Bhaktapur,bhaktapur_np,8,40-54,female,Chhetri,,other,housewife,no_difficulty,3_neutral,short_term_shelter_(tent/shelterbox),psychosocial_counseling,financial_support,3_neutral,do_not_trust_government,government_doesnot_know_what_its_doing,4_somewhat_yes,,,3_neutral,was_promised_relief_but_never_received,relief_distributed_based_on_first_come_first_served,4_somewhat_yes,,,2_not_very_much,do_not_have_warm_clothing,4_somewhat_yes,5_not_at_all,
Bhaktapur,bhaktapur_np,2,40-54,female,Chhetri,,farmer_laborer,,no_difficulty,2_not_very_much,long_term_shelter_(housing),short_term_shelter__tent_shelterbox,toilets_sanitation,4_somewhat_yes,,,2_not_very_much,how_to_register_for_access_support,how_to_get_shelter_materials,2_not_very_much,relief_distributed_based_on_caste,ngo_do_not_listen_to_my_concerns,4_somewhat_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,1_not_at_all,5_not_at_all,
Bhaktapur,bhaktapur_np,2,40-54,female,Newar,,farmer_laborer,,no_difficulty,1_not_at_all,long_term_shelter_(housing),financial_support,livelihoods,1_not_at_all,relief_distributed_based_on_caste,relief_distributed_based_on_first_come_first_served,2_not_very_much,news_about_government_decisions,how_to_get_healthcare_psychosocial_support,2_not_very_much,relief_distributed_based_on_political_parties,relief_distributed_based_on_caste,4_somewhat_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,2_not_very_much,4_somewhat_yes,ngo_workers
Bhaktapur,bhaktapur_np,2,40-54,female,Chhetri,,other,housewife,no_difficulty,4_somewhat_yes,,,,4_somewhat_yes,,,4_somewhat_yes,,,refused,,,4_somewhat_yes,,,3_neutral,not_enough_fuel,3_neutral,4_not_very_much,
Bhaktapur,changurayan,3,25-39,female,Chhetri,,farmer_laborer,,no_difficulty,2_not_very_much,long_term_shelter_(housing),financial_support,clean_water,4_somewhat_yes,,,5_completely_yes,,,5_completely_yes,,,4_somewhat_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,4_somewhat_yes,5_not_at_all,
Bhaktapur,madhyapur_np,9,55+,male,Newar,,farmer_laborer,,yes__some_diff,2_not_very_much,short_term_shelter_(tent/shelterbox),long_term_shelter__housing,healthcare,3_neutral,do_not_trust_government,government_does_not_listen_to_my_concern,1_not_at_all,finding_missing_people,how_to_get_healthcare_psychosocial_support,2_not_very_much,do_not_trust_NGOs,relief_distributed_based_on_first_come_first_served,2_not_very_much,based_on_distance_from_main_road,first_come_first_served,2_not_very_much,not_enough_blankets,2_not_very_much,,
Bhaktapur,madhyapur_np,9,25-39,male,Newar,,government_ser,,no_difficulty,4_somewhat_yes,,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,4_somewhat_yes,,,4_somewhat_yes,,4_somewhat_yes,,
Bhaktapur,madhyapur_np,4,40-54,male,Newar,,farmer_laborer,,no_difficulty,1_not_at_all,livelihoods,long_term_shelter__housing,seeds_and_fertilizers,4_somewhat_yes,,,4_somewhat_yes,,,3_neutral,relief_distributed_based_on_distance_from_road,reconstruction_process_taking_too_long,2_not_very_much,based_on_distance_from_main_road,only_if_damage_is_severe,2_not_very_much,not_enough_fuel,2_not_very_much,,
Bhaktapur,madhyapur_np,4,55+,male,Newar,,farmer_laborer,,yes__some_diff,2_not_very_much,long_term_shelter_(housing),short_term_shelter__tent_shelterbox,toilets_sanitation,don_t_know,,,2_not_very_much,news_about_government_decisions,how_to_register_for_access_support,3_neutral,renters_excluded_from_distribution,ngo_do_not_listen_to_my_concerns,5_completely_yes,,,2_not_very_much,not_enough_fuel,1_not_at_all,,
Bhaktapur,madhyapur_np,4,25-39,male,Sherpa,,ngo_worker_bus,,no_difficulty,3_neutral,financial_support,long_term_shelter__housing,livelihoods,2_not_very_much,relief_distributed_based_on_caste,relief_distributed_based_on_first_come_first_served,2_not_very_much,how_to_get_shelter_materials,how_to_replace_personal_documentation,4_somewhat_yes,,,2_not_very_much,based_on_caste_system,joint_families,1_not_at_all,not_enough_blankets,2_not_very_much,,
Bhaktapur,madhyapur_np,4,55+,male,Newar,,farmer_laborer,,no_difficulty,4_somewhat_yes,,,,2_not_very_much,Government_plans_unclear,was_promised_relief_but_never_received,4_somewhat_yes,,,don_t_know,,,5_completely_yes,,,2_not_very_much,not_enough_blankets,don_t_know,,
Bhaktapur,madhyapur_np,6,25-39,male,Newar,,other,student,no_difficulty,1_not_at_all,long_term_shelter_(housing),clean_water,healthcare,1_not_at_all,was_promised_relief_but_never_received,relief_distributed_based_on_first_come_first_served,5_completely_yes,,,2_not_very_much,donêt_know_where_distribution_sites_are,relief_distributed_based_on_caste,don_t_know,,,2_not_very_much,not_enough_fuel,2_not_very_much,,
Bhaktapur,madhyapur_np,6,40-54,male,Chhetri,,farmer_laborer,,no_difficulty,1_not_at_all,long_term_shelter_(housing),financial_support,livelihoods,1_not_at_all,do_not_trust_government,government_plans_unclear,don_t_know,,,2_not_very_much,relief_distributed_based_on_severe_damage,relief_distributed_based_on_distance_from_road,refused,,,1_not_at_all,house_shelter_will_not_protect_against_cold,2_not_very_much,,
Bhaktapur,madhyapur_np,6,55+,male,Newar,,farmer_laborer,,yes__some_diff,2_not_very_much,long_term_shelter_(housing),livelihoods,financial_support,1_not_at_all,relifef_distributed_based_on_political_parties,reconstruction_process_taking_too_long,don_t_know,,,1_not_at_all,ngo_plans_unclear,was_promised_relief_but_never_received,5_completely_yes,,,1_not_at_all,not_enough_fuel,don_t_know,,
Bhaktapur,madhyapur_np,5,40-54,male,Newar,,government_ser,,no_difficulty,4_somewhat_yes,,,,3_neutral,donêt_know_where_distribution_sites_are,relief_distributed_based_on_severe_damage,5_completely_yes,,,4_somewhat_yes,,,3_neutral,because_people_rent_instead_of_own,joint_families,3_neutral,not_enough_fuel,3_neutral,,
Bhaktapur,madhyapur_np,5,25-39,male,Chhetri,,ngo_worker_bus,,no_difficulty,4_somewhat_yes,,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,4_somewhat_yes,,,3_neutral,not_enough_fuel,2_not_very_much,,
Bhaktapur,madhyapur_np,5,15-24,male,Newar,,ngo_worker_bus,,no_difficulty,3_neutral,short_term_shelter_(tent/shelterbox),long_term_shelter__housing,financial_support,3_neutral,relifef_distributed_based_on_distance_from_road,reconstruction_process_taking_too_long,4_somewhat_yes,,,3_neutral,relief_distributed_based_on_distance_from_road,relief_distributed_based_on_first_come_first_served,3_neutral,based_on_distance_from_main_road,only_if_damage_is_severe,2_not_very_much,not_enough_fuel,2_not_very_much,,
Bhaktapur,changurayan,7,55+,male,Newar,,ngo_worker_bus,,yes__some_diff,1_not_at_all,short_term_shelter_(tent/shelterbox),long_term_shelter__housing,financial_support,1_not_at_all,Government_plans_unclear,government_doesnot_know_what_its_doing,1_not_at_all,how_to_get_shelter_materials,how_to_register_for_access_support,1_not_at_all,ngo_plans_unclear,relief_distributed_based_on_first_come_first_served,4_somewhat_yes,,,4_somewhat_yes,,don_t_know,,
Bhaktapur,changurayan,3,25-39,male,Chhetri,,skilled_worker,,no_difficulty,2_not_very_much,long_term_shelter_(housing),financial_support,livelihoods,1_not_at_all,Government_plans_unclear,reconstruction_process_taking_too_long,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,1_not_at_all,house_shelter_will_not_protect_against_cold,1_not_at_all,,
Bhaktapur,changurayan,7,25-39,male,Newar,,other,student,no_difficulty,3_neutral,long_term_shelter_(housing),financial_support,healthcare,2_not_very_much,Government_plans_unclear,relief_distributed_based_on_first_come_first_served,2_not_very_much,how_to_get_shelter_materials,how_to_register_for_access_support,2_not_very_much,ngo_plans_unclear,relief_distributed_based_on_first_come_first_served,2_not_very_much,joint_families,only_if_damage_is_severe,3_neutral,not_enough_fuel,don_t_know,,
Bhaktapur,changurayan,12,55+,male,Newar,,skilled_worker,,no_difficulty,5_completely_yes,,,,5_completely_yes,,,4_somewhat_yes,,,5_completely_yes,,,4_somewhat_yes,,,5_completely_yes,,5_completely_yes,,
Bhaktapur,changurayan,12,15-24,male,Chhetri,,ngo_worker_bus,,no_difficulty,4_somewhat_yes,,,,4_somewhat_yes,,,2_not_very_much,how_to_replace_personal_documentation,how_to_register_for_access_support,2_not_very_much,relief_distributed_based_on_political_parties,relief_distributed_based_on_first_come_first_served,2_not_very_much,first_come_first_served,based_political_parties,5_completely_yes,,don_t_know,,
Bhaktapur,changurayan,12,25-39,male,Newar,,government_ser,,no_difficulty,4_somewhat_yes,,,,3_neutral,relifef_distributed_based_on_political_parties,relief_distributed_based_on_first_come_first_served,4_somewhat_yes,,,4_somewhat_yes,,,4_somewhat_yes,,,4_somewhat_yes,,5_completely_yes,,
Bhaktapur,changurayan,12,55+,male,Chhetri,,ngo_worker_bus,,no_difficulty,4_somewhat_yes,,,,5_completely_yes,,,5_completely_yes,,,4_somewhat_yes,,,4_somewhat_yes,,,5_completely_yes,,5_completely_yes,,
Bhaktapur,changurayan,11,25-39,male,Chhetri,,ngo_worker_bus,,no_difficulty,4_somewhat_yes,,,,4_somewhat_yes,,,4_somewhat_yes,,,4_somewhat_yes,,,5_completely_yes,,,4_somewhat_yes,,5_completely_yes,,
Bhaktapur,changurayan,11,40-54,male,Brahmin,,ngo_worker_bus,,no_difficulty,5_completely_yes,,,,2_not_very_much,donêt_know_hoe_to_register_for_relief_services,government_plans_unclear,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,4_somewhat_yes,,5_completely_yes,,
Bhaktapur,lingeshwor,2,25-39,male,Chhetri,,other,student,no_difficulty,5_completely_yes,,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,5_completely_yes,,
Bhaktapur,lingeshwor,2,25-39,male,Chhetri,,ngo_worker_bus,,no_difficulty,5_completely_yes,,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,5_completely_yes,,
Bhaktapur,lingeshwor,2,25-39,male,Chhetri,,other,student,no_difficulty,5_completely_yes,,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,5_completely_yes,,
Bhaktapur,lingeshwor,2,25-39,male,Chhetri,,ngo_worker_bus,,no_difficulty,don_t_know,,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,,5_completely_yes,,5_completely_yes,,
Bhaktapur,lingeshwor,12,55+,male,Chhetri,,farmer_laborer,,no_difficulty,2_not_very_much,long_term_shelter_(housing),financial_support,livelihoods,4_somewhat_yes,,,4_somewhat_yes,,,5_completely_yes,,,4_somewhat_yes,,,1_not_at_all,house_shelter_will_not_protect_against_cold,4_somewhat_yes,,
Bhaktapur,lingeshwor,12,40-54,male,Newar,,farmer_laborer,,no_difficulty,2_not_very_much,long_term_shelter_(housing),financial_support,livelihoods,2_not_very_much,relifef_distributed_based_on_distance_from_road,relief_distributed_based_on_first_come_first_served,4_somewhat_yes,,,5_completely_yes,,,1_not_at_all,first_come_first_served,based_on_distance_from_main_road,1_not_at_all,house_shelter_will_not_protect_against_cold,1_not_at_all,,
Bhaktapur,lingeshwor,12,40-54,male,Newar,,farmer_laborer,,no_difficulty,3_neutral,psychosocial_counseling,financial_support,livelihoods,4_somewhat_yes,,,4_somewhat_yes,,,4_somewhat_yes,,,4_somewhat_yes,,,1_not_at_all,house_shelter_will_not_protect_against_cold,4_somewhat_yes,,
Bhaktapur,lingeshwor,12,40-54,male,Newar,,farmer_laborer,,no_difficulty,2_not_very_much,long_term_shelter_(housing),financial_support,livelihoods,1_not_at_all,relifef_distributed_based_on_first_come_first_served,relief_distributed_based_on_distance_from_road,4_somewhat_yes,,,don_t_know,,,1_not_at_all,first_come_first_served,based_on_distance_from_main_road,1_not_at_all,house_shelter_will_not_protect_against_cold,1_not_at_all,,
Bhaktapur,lingeshwor,9,25-39,male,Chhetri,,ngo_worker_bus,,no_difficulty,4_somewhat_yes,,,,4_somewhat_yes,,,4_somewhat_yes,,,2_not_very_much,relief_distributed_based_on_distance_from_road,relief_distributed_based_on_first_come_first_served,4_somewhat_yes,,,1_not_at_all,house_shelter_will_not_protect_against_cold,2_not_very_much,,
Bhaktapur,lingeshwor,9,40-54,male,Newar,,ngo_worker_bus,,no_difficulty,2_not_very_much,long_term_shelter_(housing),financial_support,livelihoods,4_somewhat_yes,,,4_somewhat_yes,,,5_completely_yes,,,4_somewhat_yes,,,1_not_at_all,house_shelter_will_not_protect_against_cold,4_somewhat_yes,,
Bhaktapur,chhaling,2,40-54,male,Newar,,farmer_laborer,,no_difficulty,3_neutral,long_term_shelter_(housing),financial_support,livelihoods,4_somewhat_yes,,,2_not_very_much,news_about_government_decisions,how_to_get_shelter_materials,5_completely_yes,,,5_completely_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,4_somewhat_yes,,
Bhaktapur,chhaling,2,55+,male,Newar,,farmer_laborer,,yes__some_diff,2_not_very_much,long_term_shelter_(housing),financial_support,livelihoods,4_somewhat_yes,,,4_somewhat_yes,,,5_completely_yes,,,4_somewhat_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,4_somewhat_yes,,
Bhaktapur,Suryabinayak,1,25-39,male,Chhetri,,ngo_worker_bus,,no_difficulty,4_somewhat_yes,,,,4_somewhat_yes,,,5_completely_yes,,,5_completely_yes,,,4_somewhat_yes,,,5_completely_yes,,5_completely_yes,,
Bhaktapur,chhaling,2,40-54,male,Newar,,farmer_laborer,,no_difficulty,3_neutral,long_term_shelter_(housing),financial_support,livelihoods,3_neutral,donêt_know_hoe_to_register_for_relief_services,relief_distributed_based_on_first_come_first_served,4_somewhat_yes,,,5_completely_yes,,,4_somewhat_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,4_somewhat_yes,,
Bhaktapur,chhaling,2,40-54,male,Newar,,farmer_laborer,,no_difficulty,2_not_very_much,long_term_shelter_(housing),financial_support,livelihoods,3_neutral,donêt_know_hoe_to_register_for_relief_services,relief_distributed_based_on_first_come_first_served,4_somewhat_yes,,,5_completely_yes,,,4_somewhat_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,4_somewhat_yes,,
Bhaktapur,chhaling,2,55+,male,Newar,,skilled_worker,,no_difficulty,4_somewhat_yes,,,,4_somewhat_yes,,,4_somewhat_yes,,,5_completely_yes,,,5_completely_yes,,,2_not_very_much,house_shelter_will_not_protect_against_cold,4_somewhat_yes,,
