District,VDC_Municipality,Ward,Age,Gender,Ethnicity,Ethnicity_Other,Occupation,Occupation_Other,Do_you_have_any_health_problem,A0JS,A1JS,A2JS,A3JS,B0JS,B1JAN,B2JAN,C0JS,C1JS,C2JS,D0JS,D1JS,D2JS,E0JS,E1JS,E2JS,F0JAN,F1JAN,G0JAN,G1JAN,G2JAN,I0JAN,J0JAN,J1JAN,J2JAN,L0JAN,L1JAN,L2JAN,M0JAN,M1JAN,M2JAN
Bhaktapur,changunarayan,2,40-54,male,Newar,,Farmer/laborer,,No difficulty ,2 _ Not very much,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)                ,Healthcare,1 _ Not at all        ,Government plans unclear               ,Reconstruction process taking too long                                   ,2 _ Not very much           ,How to get shelter materials                          ,How to replace personal documentation     ,2 _ Not very much           ,NGO plans unclear                             ,NGOs do not know what they are doing                                   ,3 _ Neutral           ,Based on distance from the main road            ,"First come, first served                      ",1 _ Not at all        ,House/Shelter will not protect against cold   ,Refused,,,3 _ Neutral                  ,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,News on government decisions            ,Repair/reconstruction of community buildings        
Bhaktapur,changunarayan,2,25-39,other,Newar,,Skilled worker (i.e. carpenter),,No difficulty ,3 _ Neutral ,Long-term shelter (housing)        ,Healthcare,Financial support,3 _ Neutral          ,Government does not know what itês doing                            ,Reconstruction process taking too long                                   ,3 _ Neutral ,How to get shelter materials                          ,How to register for/access support                       ,3 _ Neutral          ,NGOs do not know what they are doing                                   ,Reconstruction process taking too long                                   ,4_Mostly yes,,,4-Mostly yes,,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Personal loan (informal)               ,Concern about another earthquake/aftershocks,1 _ Not at all        ,Repair/reconstruction of community buildings        ,Financial support
Bhaktapur,madhyapur,7,40-54,female,Newar,,Others,Own business,No difficulty ,1 _ Not at all        ,Financial support,Short-term shelter (tent/shelterbox)         ,Education,4_Mostly yes,,,5 _ Completely yes         ,,,Donêt know        ,,,Donêt know        ,,,5 _ Completely yes        ,,5 _ Not at all         ,,,Don't Know,Don't Know,,1-Completely yes,1-Completely yes        ,Government grant        ,Building requirements released by government           ,Don't Know ,,
Bhaktapur,madhyapur,7,55+,male,Newar,,Farmer/laborer,,No difficulty ,1 _ Not at all        ,Housing inspections,Livelihoods,Clean water,1 _ Not at all        ,Canêt get to distribution sites,Others,Donêt know        ,,,1 _ Not at all        ,Relief distributed based on political parties     ,Was promised relief but never received           ,1 _ Not at all        ,Based on caste system     ,Others,1 _ Not at all        ,Not enough blankets                                         ,2 _ Somewhat yes           ,Health care,Improper school winterization                                                   ,1 _ Not at all        ,1 _ Completely yes        ,Community members         ,2-Somewhat yes,1-Completely yes        ,Government loan         ,Gathering enough resources to rebuild entire house at once                   ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
Bhaktapur,madhyapur,7,55+,male,Newar,,Farmer/laborer,,No difficulty ,2 _ Not very much,Financial support,Seeds and fertilizers     ,Others,4_Mostly yes,,,4_Mostly yes,,,1 _ Not at all        ,Was promised relief but never received           ,Others,2 _ Not very much           ,Because people rent instead of own               ,Others,2 _ Not very much           ,Not enough blankets                                         ,1 _ Completely yes        ,Health care,Safety at home (due to structure)         ,4-Mostly yes,5 _ Not at all         ,,1-Completely yes,4-Not very much,,,1 _ Not at all        ,Safe spaces for women and children   ,Reconstruction advice/training             
Bhaktapur,jhaukhel,7,40-54,male,Chhetri,,NGO worker/Business,,No difficulty ,3 _ Neutral ,Long-term shelter (housing)        ,Short-term shelter (tent/shelterbox)         ,Financial support,3 _ Neutral          ,Reconstruction process taking too long                                   ,"Relief distributed based on first come, first served                ",2 _ Not very much           ,How to replace personal documentation     ,How to get shelter materials                          ,2 _ Not very much           ,Was promised relief but never received           ,NGOs do not know what they are doing                                   ,2 _ Not very much           ,"First come, first served                      ",Based on political parties                 ,1 _ Not at all        ,House/Shelter will not protect against cold   ,4 _ Not very much        ,,,3 _ Neutral                  ,4 _ Not very much        ,,3-Neutral,1-Completely yes        ,Government loan         ,Gathering enough resources to rebuild entire house at once                   ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,madhyapur,7,40-54,female,Newar,,Farmer/laborer,,No difficulty ,5 _ Completely yes ,,,,1 _ Not at all        ,Government does not listen to my concerns                ,"Relief distributed based on first come, first served                ",Donêt know        ,,,5 _ Completely yes         ,,,Refused,,,4-Mostly yes,,2 _ Somewhat yes           ,Improper school winterization                                                   ,Psycho-social support      ,Don't Know,Refused,,1-Completely yes,Refused,,,5 _ Completely yes         ,,
Bhaktapur,madhyapur,7,55+,female,Newar,,Others,House wife,No difficulty ,1 _ Not at all        ,Toilets/sanitation        ,Healthcare,Education,Donêt know        ,,,Donêt know        ,,,Donêt know        ,,,Donêt know        ,,,4-Mostly yes,,4 _ Not very much        ,,,4-Mostly yes,4 _ Not very much        ,,2-Somewhat yes,5-Not at all,,,Don't Know ,,
Bhaktapur,changunarayan,9,40-54,male,Chhetri,,NGO worker/Business,,No difficulty ,2 _ Not very much,Long-term shelter (housing)        ,Clean water,Livelihoods,4_Mostly yes,,,4_Mostly yes,,,5 _ Completely yes         ,,,5 _ Completely yes        ,,,4-Mostly yes,,5 _ Not at all         ,,,5 _ Completely yes         ,Refused,,1-Completely yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,5 _ Completely yes         ,,
Bhaktapur,changunarayan,9,40-54,female,Chhetri,,NGO worker/Business,,No difficulty ,3 _ Neutral ,Long-term shelter (housing)        ,Clean water,Seeds and fertilizers,4_Mostly yes,,,4_Mostly yes,,,5 _ Completely yes         ,,,4_Mostly yes,,,5 _ Completely yes        ,,5 _ Not at all         ,,,5 _ Completely yes         ,5 _ Not at all         ,,1-Completely yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,5 _ Completely yes         ,,
Bhaktapur,changunarayan,9,25-39,female,Chhetri,,NGO worker/Business,,No difficulty ,3 _ Neutral ,Long-term shelter (housing)        ,Clean water,Livelihoods,4_Mostly yes,,,4_Mostly yes,,,5 _ Completely yes         ,,,4_Mostly yes,,,3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,5 _ Completely yes         ,5 _ Not at all         ,,Refused,1-Completely yes        ,Government loan         ,Confidence in government support                                ,4 _ Somewhat yes           ,,
Bhaktapur,changunarayan,9,25-39,female,Chhetri,,NGO worker/Business,,No difficulty ,2 _ Not very much,Long-term shelter (housing)        ,Clean water,Housing inspections,5 _ Completely yes         ,,,4_Mostly yes,,,5 _ Completely yes         ,,,4_Mostly yes,,,4-Mostly yes,,4 _ Not very much        ,,,4-Mostly yes,5 _ Not at all         ,,1-Completely yes,2-Somewhat yes,Government loan         ,Confidence in government support                                ,4 _ Somewhat yes           ,,
Bhaktapur,changunarayan,9,25-39,female,Chhetri,,NGO worker/Business,,No difficulty ,3 _ Neutral ,Long-term shelter (housing)        ,Clean water,Livelihoods,1 _ Not at all        ,Government plans unclear               ,Reconstruction process taking too long                                   ,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,5 _ Completely yes        ,,5 _ Not at all         ,,,4-Mostly yes,5 _ Not at all         ,,1-Completely yes,2-Somewhat yes,Government loan         ,Confidence in government support                                ,4 _ Somewhat yes           ,,
Bhaktapur,changunarayan,8,25-39,male,Newar,,Skilled worker (i.e. carpenter),,No difficulty ,3 _ Neutral ,Long-term shelter (housing)        ,Short-term shelter (tent/shelterbox)         ,Financial support,4_Mostly yes,,,3 _ Neutral ,How to register for/access support                       ,How to replace personal documentation     ,3 _ Neutral          ,Reconstruction process taking too long                                   ,NGOs do not know what they are doing                                   ,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,4-Mostly yes,,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,changunarayan,8,40-54,male,Chhetri,,NGO worker/Business,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,3 _ Neutral ,How to replace personal documentation     ,How to get shelter materials                          ,4_Mostly yes,,,3 _ Neutral           ,"First come, first served                      ",Joint families ,4-Mostly yes,,5 _ Not at all         ,,,Don't Know,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,News on government decisions            ,Reconstruction advice/training             
Bhaktapur,changunarayan,8,25-39,male,Chhetri,,Others,Student,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,Don't Know,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,Reconstruction advice/training             
Bhaktapur,changunarayan,8,25-39,male,Chhetri,,Skilled worker (i.e. carpenter),,"Yes, some difficulty ",4_ Mostly yes,,,,3 _ Neutral          ,Government does not know what itês doing                            ,Reconstruction process taking too long                                   ,3 _ Neutral ,How to register for/access support                       ,How to get shelter materials                          ,4_Mostly yes,,,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,4-Mostly yes,,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,4-Not very much,1-Completely yes        ,Personal loan (informal)               ,Gathering enough resources to rebuild entire house at once                   ,1 _ Not at all        ,Reconstruction advice/training             ,News on government decisions            
Bhaktapur,changunarayan,8,15-24,female,Newar,,Others,Student,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,3 _ Neutral ,How to register for/access support                       ,How to get shelter materials                          ,4_Mostly yes,,,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,4-Mostly yes,,5 _ Not at all         ,,,Don't Know,4 _ Not very much        ,,2-Somewhat yes,Don't know,,,1 _ Not at all        ,Safe spaces for women and children   ,News on government decisions            
Bhaktapur,chhaling,1,40-54,male,Newar,,Farmer/laborer,,"Yes, some difficulty ",4_ Mostly yes,,,,4_Mostly yes,,,3 _ Neutral ,How to replace personal documentation     ,How to get shelter materials                          ,4_Mostly yes,,,2 _ Not very much           ,"First come, first served                      ","First come, first served                      ",4-Mostly yes,,5 _ Not at all         ,,,Don't Know,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,chhaling,1,40-54,male,Chhetri,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,4_Mostly yes,,,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,"First come, first served                      ",Joint families ,4-Mostly yes,,5 _ Not at all         ,,,Don't Know,4 _ Not very much        ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,chhaling,1,55+,male,Newar,,Farmer/laborer,,"Yes, some difficulty ",3 _ Neutral ,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)                ,Financial support,3 _ Neutral          ,"Relief distributed based on first come, first served                ",Reconstruction process taking too long                                   ,3 _ Neutral ,How to register for/access support                       ,How to replace personal documentation     ,3 _ Neutral          ,Reconstruction process taking too long                                   ,NGOs do not know what they are doing                                   ,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,2 _ Not very much           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,4-Not very much,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,News on government decisions            
Bhaktapur,chhaling,1,40-54,male,Newar,,Farmer/laborer,,No difficulty ,4_ Mostly yes,,,,3 _ Neutral          ,"Relief distributed based on first come, first served                ",Reconstruction process taking too long                                   ,4_Mostly yes,,,4_Mostly yes,,,3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,3 _ Neutral           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,Financial support
Bhaktapur,chhaling,1,40-54,male,Newar,,Farmer/laborer,,"Yes, some difficulty ",1 _ Not at all        ,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)                ,Financial support,2 _ Not very much           ,"Relief distributed based on first come, first served                ",Reconstruction process taking too long                                   ,1 _ Not at all        ,How to register for/access support                       ,How to get shelter materials                          ,3 _ Neutral          ,Reconstruction process taking too long                                   ,"Relief distributed based on first come, first served                ",3 _ Neutral           ,"First come, first served                      ",Only if damage is severe ,1 _ Not at all        ,House/Shelter will not protect against cold   ,4 _ Not very much        ,,,Don't Know,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Confidence in government support                                ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,Financial support
Bhaktapur,chhaling,3,25-39,female,Newar,,Farmer/laborer,,No difficulty ,1 _ Not at all        ,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)                ,Financial support,1 _ Not at all        ,"Relief distributed based on first come, first served                ","Relief distributed based on first come, first served                ",1 _ Not at all        ,How to register for/access support                       ,How to get shelter materials                          ,1 _ Not at all        ,"Relief distributed based on first come, first served                ",Reconstruction process taking too long                                   ,1 _ Not at all        ,"First come, first served                      ",Based on caste system      ,1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,1 _ Not at all        ,5 _ Not at all         ,,4-Not very much,1-Completely yes        ,Government loan         ,Information about assistance from NGOs                  ,1 _ Not at all        ,Repair/reconstruction of community buildings        ,Financial support
Bhaktapur,chhaling,3,55+,male,Newar,,Farmer/laborer,,No difficulty ,3 _ Neutral ,Long-term shelter (housing)        ,Short-term shelter (tent/shelterbox)         ,Financial support,3 _ Neutral          ,Reconstruction process taking too long                                   ,Was promised relief but never received           ,2 _ Not very much           ,How to get shelter materials                          ,How to register for/access support                       ,3 _ Neutral          ,Was promised relief but never received           ,Relief distributed based on severe damage                             ,3 _ Neutral           ,"First come, first served                      ",Based on political parties                 ,2 _ Not very much           ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,Don't Know,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Information about assistance from NGOs                  ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Reduce risk of future disasters                                    
Bhaktapur,chhaling,3,25-39,female,Tamang,,Farmer/laborer,,No difficulty ,1 _ Not at all        ,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)                ,Financial support,1 _ Not at all        ,Was promised relief but never received           ,"Relief distributed based on first come, first served                ",1 _ Not at all        ,How to get shelter materials                          ,How to replace personal documentation     ,1 _ Not at all        ,Reconstruction process taking too long                                   ,"Relief distributed based on first come, first served                ",1 _ Not at all        ,Based on caste system     ,"First come, first served                      ",1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Confidence in ability to rebuild safely   ,1 _ Not at all        ,News on government decisions            ,Repair/reconstruction of community buildings        
Bhaktapur,chhaling,3,40-54,female,Newar,,Farmer/laborer,,No difficulty ,1 _ Not at all        ,Short-term shelter (tent/shelterbox)   ,Long-term shelter (housing)                ,Financial support,1 _ Not at all        ,Was promised relief but never received           ,Reconstruction process taking too long                                   ,1 _ Not at all        ,How to get shelter materials                          ,How to register for/access support                       ,1 _ Not at all        ,Was promised relief but never received           ,"Relief distributed based on first come, first served                ",1 _ Not at all        ,"First come, first served                      ",Joint families ,1 _ Not at all        ,House/Shelter will not protect against cold   ,5 _ Not at all         ,,,3 _ Neutral                  ,5 _ Not at all         ,,2-Somewhat yes,1-Completely yes        ,Government loan         ,Waiting for community to start rebuilding                    ,2 _ Not very much           ,Repair/reconstruction of community buildings        ,Financial support
